id,name,country,region,latitude,longitude,destination_type,rarity_score,fauna,experiences,accommodation,context_tags,best_months,keywords_pt,keywords_en,keywords_es,keywords_fr,keywords_hi,keywords_zh,keywords_ar,keywords_ru
tromso-nor,Tromso,Norway,Troms og Finnmark,69.6496,18.956,arctic,8,whale,aurora_borealis|wildlife|fjord|unique_landscape,ice_hotel|glamping,bucket_list|exclusive|adventure,Sep|Oct|Nov|Dec|Jan|Feb|Mar,"Baleia, Vida selvagem, Fiorde, Paisagem única, Hotel de gelo, Glamping, Imperdível, Exclusivo, Aventura","Whale, Wildlife, Fjord, Unique landscape, Ice Hotel, Glamping, Bucket List, Exclusive, Adventure","Ballena, Vida salvaje, Fiordo, Paisaje único, Hotel de hielo, Glamping, Lista de deseos, Exclusivo, Aventura","Baleine, Faune sauvage, Fjord, Paysage unique, Hôtel de glace, Glamping, À faire absolument, Exclusif, Aventure","व्हेल, वन्यजीव, फ़्योर्ड, अनोखा परिदृश्य, बर्फ़ का होटल, ग्लैम्पिंग, अवश्य देखें, विशिष्ट, साहसिक","鲸鱼, 野生动物, 峡湾, 独特景观, 冰酒店, 豪华露营, 必去, 独特, 冒险","حوت, الحياة البرية, مضيق بحري, منظر فريد, فندق جليدي, تخييم فاخر, قائمة الأمنيات, حصري, مغامرة","Кит, Дикая природа, Фьорд, Уникальный пейзаж, Ледяной отель, Глэмпинг, Обязательно посетить, Эксклюзивный, Приключение"
iceland-ring,Iceland Ring Road,Iceland,Nationwide,64.9631,-19.0208,mixed,9,whale|penguin,aurora_borealis|glacier|volcano|hot_springs|waterfall|unique_landscape,glamping|eco_lodge,bucket_list|adventure|authentic,Sep|Oct|Nov|Feb|Mar|Jun|Jul|Aug,"Baleia, Pinguim, Geleira, Vulcão, Águas termais, Cachoeira, Paisagem única, Glamping, Eco lodge, Imperdível, Aventura, Autêntico","Whale, Penguin, Glacier, Volcano, Hot Springs, Waterfall, Unique landscape, Glamping, Eco Lodge, Bucket List, Adventure, Authentic","Ballena, Pingüino, Glaciar, Volcán, Aguas termales, Cascada, Paisaje único, Glamping, Eco lodge, Lista de deseos, Aventura, Auténtico","Baleine, Pingouin, Glacier, Volcan, Sources chaudes, Cascade, Paysage unique, Glamping, Éco-lodge, À faire absolument, Aventure, Authentique","व्हेल, पेंगुइन, ग्लेशियर, ज्वालामुखी, गर्म पानी के झरने, झरना, अनोखा परिदृश्य, ग्लैम्पिंग, इको लॉज, अवश्य देखें, साहसिक, प्रामाणिक","鲸鱼, 企鹅, 冰川, 火山, 温泉, 瀑布, 独特景观, 豪华露营, 生态旅馆, 必去, 冒险, 原生态","حوت, بطريق, نهر جليدي, بركان, ينابيع حارة, شلال, منظر فريد, تخييم فاخر, نزل بيئي, قائمة الأمنيات, مغامرة, أصيل","Кит, Пингвин, Ледник, Вулкан, Горячие источники, Водопад, Уникальный пейзаж, Глэмпинг, Эко-лодж, Обязательно посетить, Приключение, Аутентичный"
patagonia-arg,Patagonia (El Chalten),Argentina,Santa Cruz,-49.3314,-72.8867,mountain,9,,glacier|trekking|mountain_climbing|unique_landscape,mountain_lodge|glamping,bucket_list|adventure|authentic|value_for_money,Nov|Dec|Jan|Feb|Mar,"Geleira, Trekking, Alpinismo, Paisagem única, Chalé de montanha, Glamping, Imperdível, Aventura, Autêntico, Custo-benefício","Glacier, Trekking, Mountain Climbing, Unique landscape, Mountain Lodge, Glamping, Bucket List, Adventure, Authentic, Value for money","Glaciar, Senderismo, Alpinismo, Paisaje único, Cabaña de montaña, Glamping, Lista de deseos, Aventura, Auténtico, Buena relación precio","Glacier, Randonnée, Alpinisme, Paysage unique, Chalet de montagne, Glamping, À faire absolument, Aventure, Authentique, Bon rapport qualité-prix","ग्लेशियर, ट्रेकिंग, पर्वतारोहण, अनोखा परिदृश्य, पर्वत लॉज, ग्लैम्पिंग, अवश्य देखें, साहसिक, प्रामाणिक, मूल्य-लाभ","冰川, 徒步旅行, 登山, 独特景观, 山间小屋, 豪华露营, 必去, 冒险, 原生态, 性价比","نهر جليدي, المشي لمسافات طويلة, تسلق الجبال, منظر فريد, نزل جبلي, تخييم فاخر, قائمة الأمنيات, مغامرة, أصيل, قيمة مقابل السعر","Ледник, Треккинг, Альпинизм, Уникальный пейзаж, Горный домик, Глэмпинг, Обязательно посетить, Приключение, Аутентичный, Цена-качество"
torres-paine-chl,Torres del Paine,Chile,Magallanes,-51.0,-73.0,mountain,9,,glacier|trekking|unique_landscape|wildlife,mountain_lodge|glamping|eco_lodge,bucket_list|adventure|sustainable,Oct|Nov|Dec|Jan|Feb|Mar|Apr,"Geleira, Trekking, Paisagem única, Vida selvagem, Chalé de montanha, Glamping, Eco lodge, Imperdível, Aventura, Sustentável","Glacier, Trekking, Unique landscape, Wildlife, Mountain Lodge, Glamping, Eco Lodge, Bucket List, Adventure, Sustainable","Glaciar, Senderismo, Paisaje único, Vida salvaje, Cabaña de montaña, Glamping, Eco lodge, Lista de deseos, Aventura, Sostenible","Glacier, Randonnée, Paysage unique, Faune sauvage, Chalet de montagne, Glamping, Éco-lodge, À faire absolument, Aventure, Durable","ग्लेशियर, ट्रेकिंग, अनोखा परिदृश्य, वन्यजीव, पर्वत लॉज, ग्लैम्पिंग, इको लॉज, अवश्य देखें, साहसिक, टिकाऊ","冰川, 徒步旅行, 独特景观, 野生动物, 山间小屋, 豪华露营, 生态旅馆, 必去, 冒险, 可持续","نهر جليدي, المشي لمسافات طويلة, منظر فريد, الحياة البرية, نزل جبلي, تخييم فاخر, نزل بيئي, قائمة الأمنيات, مغامرة, مستدام","Ледник, Треккинг, Уникальный пейзаж, Дикая природа, Горный домик, Глэмпинг, Эко-лодж, Обязательно посетить, Приключение, Экологичный"
cappadocia-tur,Cappadocia,Turkey,Nevsehir,38.6431,34.8287,desert,8,,unique_landscape|hot_springs,cave_hotel,bucket_list|authentic|value_for_money|hidden_gem,Apr|May|Jun|Sep|Oct,"Paisagem única, Águas termais, Hotel caverna, Imperdível, Autêntico, Custo-benefício, Joia escondida","Unique landscape, Hot Springs, Cave Hotel, Bucket List, Authentic, Value for money, Hidden Gem","Paisaje único, Aguas termales, Hotel cueva, Lista de deseos, Auténtico, Buena relación precio, Joya oculta","Paysage unique, Sources chaudes, Hôtel troglodyte, À faire absolument, Authentique, Bon rapport qualité-prix, Perle cachée","अनोखा परिदृश्य, गर्म पानी के झरने, गुफा होटल, अवश्य देखें, प्रामाणिक, मूल्य-लाभ, छिपा हुआ रत्न","独特景观, 温泉, 洞穴酒店, 必去, 原生态, 性价比, 隐藏的宝石","منظر فريد, ينابيع حارة, فندق كهف, قائمة الأمنيات, أصيل, قيمة مقابل السعر, جوهرة مخفية","Уникальный пейзаж, Горячие источники, Пещерный отель, Обязательно посетить, Аутентичный, Цена-качество, Скрытая жемчужина"
scottish-highlands-gbr,Scottish Highlands,United Kingdom,Scotland,57.0,-5.0,mountain,7,,unique_landscape|trekking,castle|mountain_lodge,authentic|off_beaten_path|adventure,May|Jun|Jul|Aug|Sep,"Paisagem única, Trekking, Castelo, Chalé de montanha, Autêntico, Fora do radar, Aventura","Unique landscape, Trekking, Castle, Mountain Lodge, Authentic, Off the beaten path, Adventure","Paisaje único, Senderismo, Castillo, Cabaña de montaña, Auténtico, Poco turístico, Aventura","Paysage unique, Randonnée, Château, Chalet de montagne, Authentique, Hors des sentiers battus, Aventure","अनोखा परिदृश्य, ट्रेकिंग, महल, पर्वत लॉज, प्रामाणिक, कम भीड़, साहसिक","独特景观, 徒步旅行, 城堡, 山间小屋, 原生态, 小众目的地, 冒险","منظر فريد, المشي لمسافات طويلة, قلعة, نزل جبلي, أصيل, خارج المسار, مغامرة","Уникальный пейзаж, Треккинг, Замок, Горный домик, Аутентичный, Вне туристических троп, Приключение"
maldives-mdv,Maldives,Maldives,Indian Ocean,3.2028,73.2207,island,8,whale_shark|manta_ray|sea_turtle|dolphin,scuba_diving|snorkeling|coral_reef|bioluminescence,overwater_bungalow|eco_lodge,luxury|exclusive|bucket_list,Nov|Dec|Jan|Feb|Mar|Apr,"Tubarão-baleia, Arraia-manta, Tartaruga marinha, Golfinho, Mergulho, Snorkel, Recife de coral, Bioluminescência, Bangalô sobre água, Eco lodge, Luxo, Exclusivo, Imperdível","Whale Shark, Manta Ray, Sea Turtle, Dolphin, Scuba Diving, Snorkeling, Coral Reef, Bioluminescence, Overwater Bungalow, Eco Lodge, Luxury, Exclusive, Bucket List","Tiburón ballena, Manta, Tortuga marina, Delfín, Buceo, Snorkel, Arrecife de coral, Bioluminiscencia, Bungalow sobre el agua, Eco lodge, Lujo, Exclusivo, Lista de deseos","Requin-baleine, Raie manta, Tortue de mer, Dauphin, Plongée, Snorkeling, Récif corallien, Bioluminescence, Bungalow sur pilotis, Éco-lodge, Luxe, Exclusif, À faire absolument","व्हेल शार्क, मंटा रे, समुद्री कछुआ, डॉल्फ़िन, स्कूबा डाइविंग, स्नॉर्कलिंग, मूंगे की चट्टान, जैव प्रकाश, पानी पर बंगला, इको लॉज, विलासिता, विशिष्ट, अवश्य देखें","鲸鲨, 蝠鲼, 海龟, 海豚, 潜水, 浮潜, 珊瑚礁, 生物发光, 水上屋, 生态旅馆, 奢华, 独特, 必去","قرش الحوت, مانتا راي, سلحفاة بحرية, دلفين, غوص, غطس سطحي, شعاب مرجانية, تلألؤ بيولوجي, بنغل فوق الماء, نزل بيئي, فاخر, حصري, قائمة الأمنيات","Китовая акула, Манта, Морская черепаха, Дельфин, Дайвинг, Снорклинг, Коралловый риф, Биолюминесценция, Бунгало над водой, Эко-лодж, Люкс, Эксклюзивный, Обязательно посетить"
vieques-pri,Vieques Bioluminescent Bay,Puerto Rico,Vieques Island,18.0953,-65.4475,island,9,sea_turtle,bioluminescence|snorkeling|wildlife,eco_lodge,hidden_gem|bucket_list|authentic,Jan|Feb|Mar|Apr|May|Aug|Sep|Oct|Nov|Dec,"Tartaruga marinha, Bioluminescência, Snorkel, Vida selvagem, Eco lodge, Joia escondida, Imperdível, Autêntico","Sea Turtle, Bioluminescence, Snorkeling, Wildlife, Eco Lodge, Hidden Gem, Bucket List, Authentic","Tortuga marina, Bioluminiscencia, Snorkel, Vida salvaje, Eco lodge, Joya oculta, Lista de deseos, Auténtico","Tortue de mer, Bioluminescence, Snorkeling, Faune sauvage, Éco-lodge, Perle cachée, À faire absolument, Authentique","समुद्री कछुआ, जैव प्रकाश, स्नॉर्कलिंग, वन्यजीव, इको लॉज, छिपा हुआ रत्न, अवश्य देखें, प्रामाणिक","海龟, 生物发光, 浮潜, 野生动物, 生态旅馆, 隐藏的宝石, 必去, 原生态","سلحفاة بحرية, تلألؤ بيولوجي, غطس سطحي, الحياة البرية, نزل بيئي, جوهرة مخفية, قائمة الأمنيات, أصيل","Морская черепаха, Биолюминесценция, Снорклинг, Дикая природа, Эко-лодж, Скрытая жемчужина, Обязательно посетить, Аутентичный"
halong-bay-vnm,Ha Long Bay,Vietnam,Quang Ninh,20.9101,107.1839,island,8,dolphin,unique_landscape|snorkeling|bioluminescence,eco_lodge,bucket_list|value_for_money|authentic,Mar|Apr|May|Sep|Oct|Nov,"Golfinho, Paisagem única, Snorkel, Bioluminescência, Eco lodge, Imperdível, Custo-benefício, Autêntico","Dolphin, Unique landscape, Snorkeling, Bioluminescence, Eco Lodge, Bucket List, Value for money, Authentic","Delfín, Paisaje único, Snorkel, Bioluminiscencia, Eco lodge, Lista de deseos, Buena relación precio, Auténtico","Dauphin, Paysage unique, Snorkeling, Bioluminescence, Éco-lodge, À faire absolument, Bon rapport qualité-prix, Authentique","डॉल्फ़िन, अनोखा परिदृश्य, स्नॉर्कलिंग, जैव प्रकाश, इको लॉज, अवश्य देखें, मूल्य-लाभ, प्रामाणिक","海豚, 独特景观, 浮潜, 生物发光, 生态旅馆, 必去, 性价比, 原生态","دلفين, منظر فريد, غطس سطحي, تلألؤ بيولوجي, نزل بيئي, قائمة الأمنيات, قيمة مقابل السعر, أصيل","Дельфин, Уникальный пейзаж, Снорклинг, Биолюминесценция, Эко-лодж, Обязательно посетить, Цена-качество, Аутентичный"
milford-sound-nzl,Milford Sound,New Zealand,Fiordland,-44.6414,167.8971,fjord,9,dolphin|penguin|sea_turtle,fjord|waterfall|wildlife|unique_landscape|rainforest,eco_lodge,bucket_list|adventure|authentic,Nov|Dec|Jan|Feb|Mar|Apr,"Golfinho, Pinguim, Tartaruga marinha, Fiorde, Cachoeira, Vida selvagem, Paisagem única, Floresta tropical, Eco lodge, Imperdível, Aventura, Autêntico","Dolphin, Penguin, Sea Turtle, Fjord, Waterfall, Wildlife, Unique landscape, Rainforest, Eco Lodge, Bucket List, Adventure, Authentic","Delfín, Pingüino, Tortuga marina, Fiordo, Cascada, Vida salvaje, Paisaje único, Selva tropical, Eco lodge, Lista de deseos, Aventura, Auténtico","Dauphin, Pingouin, Tortue de mer, Fjord, Cascade, Faune sauvage, Paysage unique, Forêt tropicale, Éco-lodge, À faire absolument, Aventure, Authentique","डॉल्फ़िन, पेंगुइन, समुद्री कछुआ, फ़्योर्ड, झरना, वन्यजीव, अनोखा परिदृश्य, वर्षावन, इको लॉज, अवश्य देखें, साहसिक, प्रामाणिक","海豚, 企鹅, 海龟, 峡湾, 瀑布, 野生动物, 独特景观, 热带雨林, 生态旅馆, 必去, 冒险, 原生态","دلفين, بطريق, سلحفاة بحرية, مضيق بحري, شلال, الحياة البرية, منظر فريد, غابة مطيرة, نزل بيئي, قائمة الأمنيات, مغامرة, أصيل","Дельфин, Пингвин, Морская черепаха, Фьорд, Водопад, Дикая природа, Уникальный пейзаж, Тропический лес, Эко-лодж, Обязательно посетить, Приключение, Аутентичный"
iguazu-arg,Iguazu Falls,Argentina/Brazil,Misiones / Parana,-25.6953,-54.4367,forest,9,,waterfall|rainforest|wildlife|unique_landscape,eco_lodge,bucket_list|value_for_money|adventure,Mar|Apr|May|Aug|Sep|Oct|Nov,"Cachoeira, Floresta tropical, Vida selvagem, Paisagem única, Eco lodge, Imperdível, Custo-benefício, Aventura","Waterfall, Rainforest, Wildlife, Unique landscape, Eco Lodge, Bucket List, Value for money, Adventure","Cascada, Selva tropical, Vida salvaje, Paisaje único, Eco lodge, Lista de deseos, Buena relación precio, Aventura","Cascade, Forêt tropicale, Faune sauvage, Paysage unique, Éco-lodge, À faire absolument, Bon rapport qualité-prix, Aventure","झरना, वर्षावन, वन्यजीव, अनोखा परिदृश्य, इको लॉज, अवश्य देखें, मूल्य-लाभ, साहसिक","瀑布, 热带雨林, 野生动物, 独特景观, 生态旅馆, 必去, 性价比, 冒险","شلال, غابة مطيرة, الحياة البرية, منظر فريد, نزل بيئي, قائمة الأمنيات, قيمة مقابل السعر, مغامرة","Водопад, Тропический лес, Дикая природа, Уникальный пейзаж, Эко-лодж, Обязательно посетить, Цена-качество, Приключение"
victoria-falls-zmb,Victoria Falls,Zambia/Zimbabwe,Livingstone / Vic Falls,-17.9243,25.8572,forest,9,elephant,waterfall|safari|wildlife|unique_landscape,eco_lodge|glamping,bucket_list|adventure|authentic,Feb|Mar|Apr|May|Jun|Jul,"Elefante, Cachoeira, Safári, Vida selvagem, Paisagem única, Eco lodge, Glamping, Imperdível, Aventura, Autêntico","Elephant, Waterfall, Safari, Wildlife, Unique landscape, Eco Lodge, Glamping, Bucket List, Adventure, Authentic","Elefante, Cascada, Safari, Vida salvaje, Paisaje único, Eco lodge, Glamping, Lista de deseos, Aventura, Auténtico","Éléphant, Cascade, Safari, Faune sauvage, Paysage unique, Éco-lodge, Glamping, À faire absolument, Aventure, Authentique","हाथी, झरना, सफारी, वन्यजीव, अनोखा परिदृश्य, इको लॉज, ग्लैम्पिंग, अवश्य देखें, साहसिक, प्रामाणिक","大象, 瀑布, 野生动物园, 野生动物, 独特景观, 生态旅馆, 豪华露营, 必去, 冒险, 原生态","فيل, شلال, سفاري, الحياة البرية, منظر فريد, نزل بيئي, تخييم فاخر, قائمة الأمنيات, مغامرة, أصيل","Слон, Водопад, Сафари, Дикая природа, Уникальный пейзаж, Эко-лодж, Глэмпинг, Обязательно посетить, Приключение, Аутентичный"
kamchatka-rus,Kamchatka Peninsula,Russia,Far East,53.0,158.0,volcanic,10,polar_bear|whale,volcano|hot_springs|wildlife|unique_landscape|glacier,eco_lodge|glamping,exclusive|remote|adventure|hidden_gem|bucket_list,Jun|Jul|Aug|Sep,"Urso polar, Baleia, Vulcão, Águas termais, Vida selvagem, Paisagem única, Geleira, Eco lodge, Glamping, Exclusivo, Remoto, Aventura, Joia escondida, Imperdível","Polar Bear, Whale, Volcano, Hot Springs, Wildlife, Unique landscape, Glacier, Eco Lodge, Glamping, Exclusive, Remote, Adventure, Hidden Gem, Bucket List","Oso polar, Ballena, Volcán, Aguas termales, Vida salvaje, Paisaje único, Glaciar, Eco lodge, Glamping, Exclusivo, Remoto, Aventura, Joya oculta, Lista de deseos","Ours polaire, Baleine, Volcan, Sources chaudes, Faune sauvage, Paysage unique, Glacier, Éco-lodge, Glamping, Exclusif, Isolé, Aventure, Perle cachée, À faire absolument","ध्रुवीय भालू, व्हेल, ज्वालामुखी, गर्म पानी के झरने, वन्यजीव, अनोखा परिदृश्य, ग्लेशियर, इको लॉज, ग्लैम्पिंग, विशिष्ट, दूरस्थ, साहसिक, छिपा हुआ रत्न, अवश्य देखें","北极熊, 鲸鱼, 火山, 温泉, 野生动物, 独特景观, 冰川, 生态旅馆, 豪华露营, 独特, 偏远, 冒险, 隐藏的宝石, 必去","دب قطبي, حوت, بركان, ينابيع حارة, الحياة البرية, منظر فريد, نهر جليدي, نزل بيئي, تخييم فاخر, حصري, نائي, مغامرة, جوهرة مخفية, قائمة الأمنيات","Белый медведь, Кит, Вулкан, Горячие источники, Дикая природа, Уникальный пейзаж, Ледник, Эко-лодж, Глэмпинг, Эксклюзивный, Отдалённый, Приключение, Скрытая жемчужина, Обязательно посетить"
azores-prt,Azores Islands,Portugal,Atlantic Ocean,37.7833,-25.5,island,8,whale|dolphin,volcano|hot_springs|wildlife|unique_landscape|scuba_diving,eco_lodge,hidden_gem|value_for_money|authentic|sustainable,May|Jun|Jul|Aug|Sep|Oct,"Baleia, Golfinho, Vulcão, Águas termais, Vida selvagem, Paisagem única, Mergulho, Eco lodge, Joia escondida, Custo-benefício, Autêntico, Sustentável","Whale, Dolphin, Volcano, Hot Springs, Wildlife, Unique landscape, Scuba Diving, Eco Lodge, Hidden Gem, Value for money, Authentic, Sustainable","Ballena, Delfín, Volcán, Aguas termales, Vida salvaje, Paisaje único, Buceo, Eco lodge, Joya oculta, Buena relación precio, Auténtico, Sostenible","Baleine, Dauphin, Volcan, Sources chaudes, Faune sauvage, Paysage unique, Plongée, Éco-lodge, Perle cachée, Bon rapport qualité-prix, Authentique, Durable","व्हेल, डॉल्फ़िन, ज्वालामुखी, गर्म पानी के झरने, वन्यजीव, अनोखा परिदृश्य, स्कूबा डाइविंग, इको लॉज, छिपा हुआ रत्न, मूल्य-लाभ, प्रामाणिक, टिकाऊ","鲸鱼, 海豚, 火山, 温泉, 野生动物, 独特景观, 潜水, 生态旅馆, 隐藏的宝石, 性价比, 原生态, 可持续","حوت, دلفين, بركان, ينابيع حارة, الحياة البرية, منظر فريد, غوص, نزل بيئي, جوهرة مخفية, قيمة مقابل السعر, أصيل, مستدام","Кит, Дельфин, Вулкан, Горячие источники, Дикая природа, Уникальный пейзаж, Дайвинг, Эко-лодж, Скрытая жемчужина, Цена-качество, Аутентичный, Экологичный"
amazon-bra,Amazon Rainforest,Brazil,Amazonas,-3.4653,-62.2159,forest,9,dolphin,rainforest|wildlife|unique_biome,eco_lodge|treehouse,bucket_list|adventure|authentic|sustainable,Jun|Jul|Aug|Sep|Oct|Nov,"Golfinho, Floresta tropical, Vida selvagem, Bioma único, Eco lodge, Casa na árvore, Imperdível, Aventura, Autêntico, Sustentável","Dolphin, Rainforest, Wildlife, Unique biome, Eco Lodge, Treehouse, Bucket List, Adventure, Authentic, Sustainable","Delfín, Selva tropical, Vida salvaje, Bioma único, Eco lodge, Casa del árbol, Lista de deseos, Aventura, Auténtico, Sostenible","Dauphin, Forêt tropicale, Faune sauvage, Biome unique, Éco-lodge, Cabane dans les arbres, À faire absolument, Aventure, Authentique, Durable","डॉल्फ़िन, वर्षावन, वन्यजीव, अनोखा जैव क्षेत्र, इको लॉज, पेड़ पर घर, अवश्य देखें, साहसिक, प्रामाणिक, टिकाऊ","海豚, 热带雨林, 野生动物, 独特生物群系, 生态旅馆, 树屋, 必去, 冒险, 原生态, 可持续","دلفين, غابة مطيرة, الحياة البرية, نظام بيئي فريد, نزل بيئي, بيت شجرة, قائمة الأمنيات, مغامرة, أصيل, مستدام","Дельфин, Тропический лес, Дикая природа, Уникальный биом, Эко-лодж, Дом на дереве, Обязательно посетить, Приключение, Аутентичный, Экологичный"
costa-rica-osa,Osa Peninsula,Costa Rica,Puntarenas,8.5,-83.5,forest,9,whale|dolphin|sea_turtle,rainforest|wildlife|scuba_diving|unique_biome,eco_lodge|treehouse,hidden_gem|sustainable|adventure|authentic,Dec|Jan|Feb|Mar|Apr,"Baleia, Golfinho, Tartaruga marinha, Floresta tropical, Vida selvagem, Mergulho, Bioma único, Eco lodge, Casa na árvore, Joia escondida, Sustentável, Aventura, Autêntico","Whale, Dolphin, Sea Turtle, Rainforest, Wildlife, Scuba Diving, Unique biome, Eco Lodge, Treehouse, Hidden Gem, Sustainable, Adventure, Authentic","Ballena, Delfín, Tortuga marina, Selva tropical, Vida salvaje, Buceo, Bioma único, Eco lodge, Casa del árbol, Joya oculta, Sostenible, Aventura, Auténtico","Baleine, Dauphin, Tortue de mer, Forêt tropicale, Faune sauvage, Plongée, Biome unique, Éco-lodge, Cabane dans les arbres, Perle cachée, Durable, Aventure, Authentique","व्हेल, डॉल्फ़िन, समुद्री कछुआ, वर्षावन, वन्यजीव, स्कूबा डाइविंग, अनोखा जैव क्षेत्र, इको लॉज, पेड़ पर घर, छिपा हुआ रत्न, टिकाऊ, साहसिक, प्रामाणिक","鲸鱼, 海豚, 海龟, 热带雨林, 野生动物, 潜水, 独特生物群系, 生态旅馆, 树屋, 隐藏的宝石, 可持续, 冒险, 原生态","حوت, دلفين, سلحفاة بحرية, غابة مطيرة, الحياة البرية, غوص, نظام بيئي فريد, نزل بيئي, بيت شجرة, جوهرة مخفية, مستدام, مغامرة, أصيل","Кит, Дельфин, Морская черепаха, Тропический лес, Дикая природа, Дайвинг, Уникальный биом, Эко-лодж, Дом на дереве, Скрытая жемчужина, Экологичный, Приключение, Аутентичный"
